location	Latitude	Longitude
Little Rock	47.87	-95.11
Littlefork city	48.4	-93.56
Long Beach city	45.65	-95.43
Long Lake city	44.98	-93.57
Long Prairie city	45.98	-94.86
Longville city	46.99	-94.21
Lonsdale city	44.48	-93.42
Loretto city	45.05	-93.63
Louisburg city	45.16	-96.17
Lowry city	45.71	-95.52
Lucan city	44.41	-95.41
Lutsen	47.67	-90.69
Luverne city	43.65	-96.21
Lyle city	43.51	-92.94
Lynd city	44.4	-95.88
Mabel city	43.52	-91.77
Madelia city	44.05	-94.42
Madison city	45.01	-96.19
Madison Lake city	44.2	-93.82
Magnolia city	43.64	-96.08
Mahnomen	46.77	-92.54
Mahnomen city	47.31	-95.97
Mahtomedi city	45.06	-92.97
Mahtowa	46.56	-92.63
Manchester city	43.73	-93.45
Manhattan Beach city	46.73	-94.14
Mankato city	44.17	-93.98
Mantorville city	44.07	-92.75
Maple Grove city	45.11	-93.46
Maple Lake city	45.23	-94.01
Maple Plain city	45.01	-93.66
Mapleton city	43.93	-93.95
Mapleview city	43.69	-92.97
Maplewood city	44.98	-93.02
Marble city	47.33	-93.29
Marietta city	45.01	-96.42
Marine on St. Croix city	45.2	-92.78
Marshall city	44.45	-95.79
Martin Lake	45.38	-93.09
Mayer city	44.89	-93.89
Maynard city	44.91	-95.47
Mazeppa city	44.27	-92.54
McGrath city	46.24	-93.27
McGregor city	46.61	-93.31
McIntosh city	47.64	-95.89
McKinley city	47.51	-92.41
Meadowlands city	47.07	-92.73
Medford city	44.17	-93.25
Medicine Lake city	45	-93.42
Medina city	45.03	-93.58
Meire Grove city	45.63	-94.87
Melrose city	45.68	-94.81
Menahga city	46.75	-95.1
Mendota city	44.89	-93.16
Mendota Heights city	44.88	-93.14
Mentor city	47.7	-96.14
Merrifield	46.47	-94.17
Middle River city	48.43	-96.16
Midway	47.32	-95.78
Miesville city	44.6	-92.82
Milaca city	45.76	-93.65
Milan city	45.11	-95.91
Millerville city	46.07	-95.56
Millville city	44.24	-92.3
Milroy city	44.42	-95.55
Miltona city	46.05	-95.29
Minneapolis city	44.96	-93.27
Minneiska city	44.2	-91.87
Minneota city	44.56	-95.98
Minnesota City city	44.09	-91.75
Minnesota Lake city	43.84	-93.83
